dataset,object_id,object_category,part_id,part_category
real,20211113T143505-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211113T143505-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211113T143505-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211113T144736-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211113T144736-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211113T144736-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211121T191336-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Microwave,1,door
real,20211121T192006-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Microwave,1,door
real,20211121T192720-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Microwave,1,door
real,20211121T193801-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211121T193801-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211121T194720-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211121T194720-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211121T195234-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211121T195234-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211121T195840-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211121T195840-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211121T195840-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211123T172648-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211123T172648-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211123T172648-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211123T173803-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211123T173803-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211123T173803-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211123T173803-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211123T174241-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,TrashCan,1,lid
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,door
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,door
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,7,door
real,20211123T175253-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,8,door
real,20211123T175833-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
